,0,1,2,3,4
 ,Evolution des offres d'emploi reçus,Placements réalisées par Sexe,Placements réalisées  des Masculins,Placements réalisées des Feminins,Dont premier emploi
2007,142042,124572,71399,53173,78841
2008,147466,134224,75548,58676,91805
2009,159893,131403,73000,58403,92649
2010,176196,123421,66182,57239,87837
2011,100364,46471,22286,24185,37622
2012,106321,53643,26043,27600,45416
2013,93710,58165,26033,32132,51173
2014,100486,61484,27150,34334,54883
2015,78937,55374,23078,32296,49970
2016,81071,49460,20778,28682,44975
2017,86096,49667,19308,30359,45941
